Source,Country,State,District,Year,Topic,Type,Indicator,Value
Tourism Statistics,India,Jammu And Kashmir,Anantnag,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,2.4
Tourism Statistics,India,Jammu And Kashmir,Anantnag,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,1.0
Tourism Statistics,India,Jammu And Kashmir,Budgam,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,1.46
Tourism Statistics,India,Jammu And Kashmir,Budgam,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,1.0
Tourism Statistics,India,Jammu And Kashmir,Baramulla,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,2.1566301283969653
Tourism Statistics,India,Jammu And Kashmir,Baramulla,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,1.9951858977099508
Tourism Statistics,India,Jammu And Kashmir,Doda,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,1.69
Tourism Statistics,India,Jammu And Kashmir,Doda,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,1.0
Tourism Statistics,India,Jammu And Kashmir,Jammu,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,1.16
Tourism Statistics,India,Jammu And Kashmir,Jammu,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,1.0
Tourism Statistics,India,Jammu And Kashmir,Kathua,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,1.22
Tourism Statistics,India,Jammu And Kashmir,Kathua,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,1.0
Tourism Statistics,India,Jammu And Kashmir,Poonch,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,1.0
Tourism Statistics,India,Jammu And Kashmir,Poonch,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,1.0
Tourism Statistics,India,Jammu And Kashmir,Pulwama,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,2.35
Tourism Statistics,India,Jammu And Kashmir,Pulwama,"Calendar Year (Jan - Dec), 2014",Tourism Statistics,positive,Overnight visit of average domestic or foreign tourists,1.5
